id,date,source,title,sector,sentiment,summary,year_month,year
0,2025-10-01,katadata.co.id,"Petugas Telah Padamkan Kebakaran Hunian Pekerja Proyek IKN, Penghuni Dipindahkan",manufaktur,neutral,"Implementasi AI tidak langsung tercantum dalam artikel tersebut, yang lebih fokus pada konstruksi tower (huni) sebagai proyek ibu kota baru di Kalimantan Timur. Namun, dapat disimpulkan bahwa proyek ini mungkin menggunakan teknologi modern, termasuk AI, dalam proses desain, simulasi, dan pengendalian konstruksi untuk efektifitas dan keamanan.",2025-10,2025
1,2025-10-01,katadata.co.id,"Utamakan Daya Beli Masyarakat, Tarif Listrik Tak Naik Sampai Desember 2025",government,neutral,"Implementasi AI tidak terdapat dalam artikel tersebut, yang lebih fokus pada kebijakan tarif listrik PLN Persero untuk masa tiga bulan (oktober-desember) dengan prioritas jaga daya beli masyarakat, tanpa mengacu pada teknologi AI.",2025-10,2025
2,2025-10-01,katadata.co.id,"Serapan Anggaran MBG Baru Rp 21 T, BGN Optimistis Bisa Capai Rp 99 T Akhir Tahun",government,positive,"Serap Anggar Makan Minum Baru (MBG) baru dikatakan optimistis untuk mencapai target akhir tahun, dengan dana triliun rupiah dari pemerintah untuk program makanan dan minuman gratis. Pimpinan Serap Makan Minum, Dad Hindayana, berharap serap akan meningkat setelah rapat dengan Komisi DPR, Menteri Kesehatan, dan Menteri Keuangan. Program ini bertujuan untuk mengurangi kemiskinan gizi di seluruh provinsi, mulai dari kabupaten hingga kabupaten camat.",2025-10,2025
3,2025-10-01,katadata.co.id,PLN Buka Lowongan Kerja bagi Lulusan D3 sampai S2 di Seluruh Indonesia,government,neutral,"PLN (Persero) membuka rekrutmen umum untuk semua lulusan diploma Sarjana, Diploma, dan Magister, dengan fokus pada generasi muda Indonesia untuk berkontribusi dalam transformasi energi bersih, pembangunan infrastruktur listrik, dan digitalisasi sistem listrik, sebagai langkah kuat dalam mendukung visi Indonesia Emas.",2025-10,2025
4,2025-10-01,katadata.co.id,"Keluarga Mahfud MD Keracunan MBG, Kepala BGN Minta Maaf",other,neutral,"Keluarga Mahfud, korban racun, mendapat program makan gizi gratis (MBG) sebagai upaya tata kelola dan pengobatan. Keluarga ini, sebagai korban racun, diberi layanan MBG yang disusuli dengan gelaran hari maaf oleh Kepala Badan Pengawas Obat (BPOM) dan Kementerian Kesehatan. Program ini menjadi fokus kerja sama antara Komisi DPR, Menteri Sehat, dan Menteri Duduk, dengan tujuan untuk mengembangkan sistem tata kelola MBG yang efektif.

Analisis Sentimen:

Analisis sentimen terhadap teknologi AI dalam artikel tersebut tidak terdapat secara langsung. Artikel fokus pada upaya tata kelola dan layanan sosial untuk keluarga korban racun, bukan pada implementasi AI. Jadi, analisis sentimen AI tidak relevan dengan konten artikel ini. Namun, secara umum, sentimen terhadap teknologi AI di Indonesia sering positif karena potensi yang besar untuk berbagai sektor, seperti kesehatan, pendidikan, dan pemerintahan. Namun, juga ada perhatian terhadap efek sosial dan etika yang harus dipertimbangkan dalam implementasi AI lebih lanjut.",2025-10,2025
5,2025-10-01,katadata.co.id,Rusun Hunian Pekerja Proyek IKN Terbakar,manufaktur,neutral,"Ringkasan: Pada proyek IKN (Infrastruktur Kerja Nusantara) di Kalimantan Timur, sebuah ""huni kerja"" (tempat kerja yang mobil dan temporal) dibangun sebagai salah satu proyek awal IKN. Proyek ini melibatkan konstruksi sebuah tower huni kerja dengan bentuk rusun yang dapat mencakup sekitar ribu pekerja.

1. Sektor Industri: Infrastruktur dan Konstruksi
2. Implementasi AI: Artikel tidak menyebutkan implementasi AI langsung, tetapi proyek IKN secara umum dapat menggunakan AI untuk optimasi proses konstruksi, pengendalian kualitas, dan manajemen sumber daya.
3. Sentimen: Artikel berkonten fakta dan tidak menyentuh sentimen terhadap teknologi AI. Namun, dengan konteks proyek IKN, sentimen mungkin positif karena inisiatif untuk menciptakan infrastruktur baru dan mendorong pertumbuhan ekonomi.",2025-10,2025
6,2025-10-01,katadata.co.id,"DPR Usulkan Hapus Kata ‘Gratis’ pada MBG, Kepala BGN akan Tanya Prabowo",other,neutral,"Usulan DPR RI usul menghapus program ""gratis makan"" (MBG), yang menjadi tanda tanya bagi Prabowo Subianto, Kepala Badan Standardisasi Nasional (BSN). Usulan ini muncul setelah Presiden Jokowi mengatakan akan menerapkan program asal-asalan gizi anak-anak Indonesia, mencari solusi yang pasti dan asupan gizi yang cukup. Namun, usulan ini mendapat sentimen negatif karena dikatakan memiliki konotasi politik dan menimbulkan persoalan terhadap kelancaran program gizi anak-anak. Hasil investigasi masih dalam tahap tengah, dan kesulitan dalam prosedur operasional program ini juga menjadi bahan pertimbangan.",2025-10,2025
7,2025-10-01,katadata.co.id,"Tunggu Hasil Investigasi, BGN Belum Akan Cabut Izin Dapur MBG yang Bermasalah",other,negative,"Sektor industri yang terlibat dalam implementasi AI dalam artikel tersebut tidak tercantum langsung. Namun, dapat disimpulkan bahwa implementasi AI mungkin terkait dengan program makan gizi gratis (SOP) yang dibicarakan, karena terdapat perkataan seperti ""program makan gizi gratis"", ""sop program"", dan ""standar operasional prosedur"".

Analisis sentimen terhadap teknologi AI dalam artikel tersebut tidak tercantum langsung. Artikel fokus lebih pada proses investigasi dan tindakan-tindakan yang diambil terkait dengan masalah kepala badan gizi nasional, tanpa membahas sentimen positif atau negatif terhadap teknologi AI.",2025-10,2025
8,2025-10-01,katadata.co.id,Stok BBM di SPBU Shell hingga BP Habis Total Bulan Ini,manufaktur,negative,"Implementasi AI dalam sektor bahan bakar minyak (BBM) di Indonesia terlihat di dalam kontrak usaha Shell, dimana stok BBM Spbu Shell hingga habis seluruh bulan Oktober, menyebabkan stok pasok bahan bakar minyak di stasiun isi Spbu swasta juga habis. Kondisi ini terjadi karena alami, dengan Vivo Energy, salah satu penyedia BBM swasta, mengakui stok BBM bensin dan diesel habis. Perusahaan Mobility Shell Indonesia menyatakan bahwa stok BBM mulai langka sejak Agustus, dan mungkin menjadi stock out pada bulan Oktober.

Analisis Sentimen:

Dari ringkasan artikel tersebut, sentimen terhadap implementasi AI dan teknologi dalam sektor BBM di Indonesia dapat dikategorikan sebagai negatif. Kelemahan stok BBM dan kesulitan dalam mencapai sepakat dalam penyediaan BBM menunjukkan kesulitan dan tantangan yang dihadapi oleh perusahaan-perusahaan terkait. Namun, analisis lebih mendalam memerlukan data sentimen yang lebih luas dari berbagai sumber, bukan hanya dari satu artikel.",2025-10,2025
9,2025-10-01,katadata.co.id,DPR Sahkan RUU BUMN di Rapat Paripurna Besok,government,neutral,"DPR RI sahkan RUU BUMN rapat paripurna besok, wakil Ketua DPR Sufmi Dasco Ahmad pasti revisi Undang-Undang Badan Usaha Milik Negara (BUMN) yang kompleks, dengan tujuan untuk memperbaiki atau menambahkan aturan tentang peran, struktur, dan pengelolaan BUMN, sesuai dengan perintah Presiden.",2025-10,2025
